date,Location,Change in Mean Sea Level (mm)
2000-01-01,Bering Sea,-37.85666666666666
2000-01-01,Mediterranean,-35.50666666666667
2000-01-01,World,2.513333333333333
2000-02-01,Bering Sea,-55.02333333333333
2000-02-01,Mediterranean,-39.473333333333336
2000-02-01,World,-1.92
2000-03-01,Bering Sea,-61.09
2000-03-01,Mediterranean,-86.20666666666666
2000-03-01,World,-2.353333333333333
2000-04-01,Bering Sea,-63.84
2000-04-01,Mediterranean,16.06
2000-04-01,World,-5.42
2000-05-01,Bering Sea,-41.25666666666667
2000-05-01,Mediterranean,-41.74
2000-05-01,World,-6.6866666666666665
2000-06-01,Bering Sea,-28.49
2000-06-01,Mediterranean,-52.64000000000001
2000-06-01,World,-7.786666666666666
2000-07-01,Bering Sea,-11.64
2000-07-01,Mediterranean,-3.14
2000-07-01,World,-4.22
2000-08-01,Bering Sea,-0.7566666666666668
2000-08-01,Mediterranean,7.859999999999999
2000-08-01,World,-1.62
2000-09-01,Bering Sea,-1.3900000000000006
2000-09-01,Mediterranean,50.49333333333333
2000-09-01,World,3.313333333333333
2000-10-01,Bering Sea,-13.723333333333334
2000-10-01,Mediterranean,54.72666666666667
2000-10-01,World,9.646666666666668
2000-11-01,Bering Sea,-32.09
2000-11-01,Mediterranean,91.82666666666668
2000-11-01,World,11.146666666666668
2000-12-01,Bering Sea,-21.956666666666667
2000-12-01,Mediterranean,62.09333333333333
2000-12-01,World,6.146666666666667
2001-01-01,Bering Sea,-43.99
2001-01-01,Mediterranean,52.41
2001-01-01,World,4.73
2001-02-01,Bering Sea,-51.05666666666667
2001-02-01,Mediterranean,-38.27333333333333
2001-02-01,World,0.2133333333333333
2001-03-01,Bering Sea,-78.72333333333334
2001-03-01,Mediterranean,-4.006666666666665
2001-03-01,World,1.2466666666666668
2001-04-01,Bering Sea,-93.79
2001-04-01,Mediterranean,-97.74
2001-04-01,World,-0.12
2001-05-01,Bering Sea,-59.89000000000001
2001-05-01,Mediterranean,-26.37333333333333
2001-05-01,World,-0.82
2001-06-01,Bering Sea,-27.89
2001-06-01,Mediterranean,-43.60666666666666
2001-06-01,World,-1.586666666666667
2001-07-01,Bering Sea,-25.62333333333333
2001-07-01,Mediterranean,-0.8733333333333325
2001-07-01,World,3.846666666666666
2001-08-01,Bering Sea,-9.923333333333334
2001-08-01,Mediterranean,21.66
2001-08-01,World,5.8133333333333335
2001-09-01,Bering Sea,1.2766666666666664
2001-09-01,Mediterranean,76.02666666666666
2001-09-01,World,12.18
2001-10-01,Bering Sea,-19.656666666666663
2001-10-01,Mediterranean,88.56
2001-10-01,World,14.513333333333335
2001-11-01,Bering Sea,-36.223333333333336
2001-11-01,Mediterranean,57.193333333333335
2001-11-01,World,17.313333333333333
2001-12-01,Bering Sea,-28.34
2001-12-01,Mediterranean,-18.315
2001-12-01,World,10.955
2002-01-01,Bering Sea,-47.974
2002-01-01,Mediterranean,-31.168
2002-01-01,World,4.256
2002-02-01,Bering Sea,-49.870000000000005
2002-02-01,Mediterranean,-42.85
2002-02-01,World,6.825
2002-03-01,Bering Sea,-43.27
2002-03-01,Mediterranean,-58.083333333333336
2002-03-01,World,2.125
2002-04-01,Bering Sea,-57.81166666666667
2002-04-01,Mediterranean,-21.78333333333333
2002-04-01,World,1.1
2002-05-01,Bering Sea,-62.87833333333333
2002-05-01,Mediterranean,-55.68333333333334
2002-05-01,World,0.1833333333333333
2002-06-01,Bering Sea,-21.495
2002-06-01,Mediterranean,-26.566666666666663
2002-06-01,World,1.3333333333333333
2002-07-01,Bering Sea,16.144
2002-07-01,Mediterranean,4.6480000000000015
2002-07-01,World,5.344
2002-08-01,Bering Sea,-3.111666666666667
2002-08-01,Mediterranean,31.65
2002-08-01,World,11.8
2002-09-01,Bering Sea,19.82166666666667
2002-09-01,Mediterranean,106.31666666666666
2002-09-01,World,12.2
2002-10-01,Bering Sea,-6.845
2002-10-01,Mediterranean,93.9
2002-10-01,World,17.733333333333334
2002-11-01,Bering Sea,-10.728333333333332
2002-11-01,Mediterranean,94.83333333333331
2002-11-01,World,15.316666666666668
2002-12-01,Bering Sea,35.43833333333333
2002-12-01,Mediterranean,72.15
2002-12-01,World,15.583333333333334
2003-01-01,Bering Sea,23.805
2003-01-01,Mediterranean,20.825
2003-01-01,World,11.383333333333333
2003-02-01,Bering Sea,-9.645
2003-02-01,Mediterranean,-70.9
2003-02-01,World,11.016666666666666
2003-03-01,Bering Sea,-30.12833333333333
2003-03-01,Mediterranean,-102.28333333333336
2003-03-01,World,6.783333333333334
2003-04-01,Bering Sea,-29.245
2003-04-01,Mediterranean,-73.35142857142857
2003-04-01,World,6.2
2003-05-01,Bering Sea,-34.445
2003-05-01,Mediterranean,-52.73428571428571
2003-05-01,World,6.1
2003-06-01,Bering Sea,-5.478333333333333
2003-06-01,Mediterranean,-20.116666666666664
2003-06-01,World,4.583333333333333
2003-07-01,Bering Sea,31.8275
2003-07-01,Mediterranean,11.044999999999998
2003-07-01,World,6.859999999999999
2003-08-01,Bering Sea,29.762857142857143
2003-08-01,Mediterranean,39.18
2003-08-01,World,10.197142857142856
2003-09-01,Bering Sea,51.62166666666666
2003-09-01,Mediterranean,59.083333333333336
2003-09-01,World,15.966666666666669
2003-10-01,Bering Sea,32.455000000000005
2003-10-01,Mediterranean,95.0
2003-10-01,World,20.65
2003-11-01,Bering Sea,26.638333333333332
2003-11-01,Mediterranean,86.68333333333334
2003-11-01,World,17.516666666666666
2003-12-01,Bering Sea,-5.611666666666667
2003-12-01,Mediterranean,47.0
2003-12-01,World,16.783333333333335
2004-01-01,Bering Sea,30.688333333333333
2004-01-01,Mediterranean,4.233333333333333
2004-01-01,World,12.266666666666666
2004-02-01,Bering Sea,-16.728333333333335
2004-02-01,Mediterranean,-30.6
2004-02-01,World,7.683333333333334
2004-03-01,Bering Sea,-28.578333333333333
2004-03-01,Mediterranean,-49.01666666666667
2004-03-01,World,7.683333333333334
2004-04-01,Bering Sea,-24.72833333333333
