,TA1,TA2,TA3,TA4,TA5,TA6,TA7
DATE-YMD,HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C),HSST= HadISST Temperature (C)
15/01/1900,10.659,2.807,23.783,-0.04,5.526,26.798,21.279
15/02/1900,10.447,2.168,24.736,0.979,5.228,27.54,22.207
15/03/1900,10.57,1.889,24.711,0.875,4.796,28.131,22.137
15/04/1900,10.865,2.056,24.197,-0.944,4.902,28.193,21.154
15/05/1900,11.393,2.347,22.968,-1.254,5.965,27.879,19.827
15/06/1900,12.328,4.117,21.912,-1.386,7.648,27.336,18.581
15/07/1900,14.173,6.105,20.81,-1.654,10.371,26.508,17.367
15/08/1900,15.015,7.322,19.977,-1.75,13.044,25.717,16.764
15/09/1900,14.503,6.701,20.206,-1.774,13.167,25.534,16.821
15/10/1900,13.033,5.057,20.203,-1.776,10.871,25.209,17.454
15/11/1900,11.725,3.301,21.462,-1.555,8.513,25.144,18.477
15/12/1900,10.934,3.074,22.709,-0.305,6.556,25.558,20.099
15/01/1901,10.015,2.934,24.403,-0.032,5.492,26.079,21.381
15/02/1901,10.464,2.029,24.751,0.976,5.541,26.414,22.617
15/03/1901,10.283,1.603,24.635,0.877,5.247,27.038,22.233
15/04/1901,10.437,1.632,24.083,-0.944,5.646,27.386,21.387
15/05/1901,11.102,2.198,22.877,-1.254,6.418,26.914,20.013
15/06/1901,12.339,3.818,21.858,-1.386,8.055,26.223,18.673
15/07/1901,14.172,6.403,20.614,-1.654,10.975,25.467,17.737
15/08/1901,15.377,7.154,20.079,-1.75,13.829,24.884,17.273
15/09/1901,14.199,6.762,19.848,-1.774,12.457,24.737,17.379
15/10/1901,12.979,4.971,20.076,-1.776,10.34,24.843,17.742
15/11/1901,11.942,3.268,21.135,-1.555,8.318,25.157,18.828
15/12/1901,11.282,3.069,22.587,-0.305,6.698,25.302,20.39
15/01/1902,10.096,1.932,24.221,-0.066,5.706,25.774,22.046
15/02/1902,10.14,1.576,25.049,0.981,5.044,26.471,22.58
15/03/1902,10.451,1.929,25.02,0.854,4.58,27.296,22.3
15/04/1902,10.405,1.292,24.156,-0.944,4.972,27.874,21.432
15/05/1902,11.422,2.059,22.857,-1.254,6.399,27.583,19.941
